collection,pack_dir,agent_id,agent_name,version,domain,domain_basis,source_domain,functional_owner,primary_use_case,priority_tier,priority_rank,readiness_status,has_readiness,has_evidence,source_path,source_checksum,skills_count,tools_count,policies_count,source_tags_domain,source_tags_level,source_tags_use_case,manifest_path,canonical_concept_key,exact_duplicate_group_id,overlap_group_ids
corporate-v1,finance-pack,finance-pack,Finance Agent Pack,2.3.0,financeiro,manual-override,,CFO / Finance Ops,"Departmental finance agent for controls, reconciliation and reporting.",core,P0,not-provided,no,no,,,6,3,1,finance,department,budget-control; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/finance-pack/manifest.json,finance,,overlap-cash-billing-collections; overlap-fpna-budget-cost
corporate-v1,follow-up-pack,follow-up-pack,Follow-up Bot,2.3.0,vendas,manual-override,,CRO / VP Sales,"Recuperar conversas mornas e manter consistência de follow-up. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,4,1,sales; prospecting,specialist,follow-up; pipeline-generation; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/follow-up-pack/manifest.json,followup,,
corporate-v1,forecast-intelligence-pack,forecast-intelligence-pack,Forecast Intelligence Bot,2.3.0,vendas,manual-override,,CRO / VP Sales,"Projetar receita futura por time, período e cenário. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,3,1,operations; enablement,specialist,forecast-intelligence; commercial-operations; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/forecast-intelligence-pack/manifest.json,forecastintelligence,,overlap-pipeline-forecast-deal-risk
corporate-v1,knowledge-pack,knowledge-pack,Knowledge Bot,2.3.0,ops,manual-override,,COO / Platform Ops,"Consultar e responder com base na base interna do tenant. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,6,3,1,operations; enablement,specialist,knowledge; commercial-operations; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/knowledge-pack/manifest.json,knowledge,,
corporate-v1,kpi-analyst-pack,kpi-analyst-pack,KPI Analyst Bot,2.3.0,ops,manual-override,,COO / RevOps,"Traduzir métricas em narrativa operacional útil. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,2,1,operations; enablement,specialist,kpi-analyst; commercial-operations; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/kpi-analyst-pack/manifest.json,kpianalyst,,overlap-executive-board-strategy
corporate-v1,lead-enrichment-pack,lead-enrichment-pack,Lead Enrichment Bot,2.3.0,vendas,manual-override,,CRO / VP Sales,"Enriquecer leads e contas com dados úteis para abordagem e qualificação. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,4,1,sales; prospecting,specialist,lead-enrichment; pipeline-generation; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/lead-enrichment-pack/manifest.json,leadenrichment,,overlap-lead-prospecting-outreach; overlap-data-analytics-dashboard
corporate-v1,lead-hunter-pack,lead-hunter-pack,Lead Hunter Bot,2.3.0,vendas,manual-override,,CRO / VP Sales,"Encontrar contas e leads aderentes ao ICP. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,4,1,sales; prospecting,specialist,lead-hunter; pipeline-generation; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/lead-hunter-pack/manifest.json,leadhunter,,overlap-lead-prospecting-outreach
corporate-v1,legal-pack,legal-pack,Legal Agent Pack,2.3.0,compliance,manual-override,,General Counsel,Legal operations agent for contracts and compliance workflows.,core,P0,not-provided,no,no,,,6,3,1,legal,department,contract-review; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/legal-pack/manifest.json,legal,,overlap-compliance-risk-audit; overlap-process-workflow-automation
corporate-v1,maestro-orchestrator-pack,maestro-orchestrator-pack,Maestro Orchestrator,2.3.0,ops,manual-override,,COO / Platform Ops,"Orquestrar toda a plataforma, decidir qual agente atua, consolidar contexto e garantir fluxo sem conflitos. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,8,5,1,operations; governance,suite,maestro-orchestrator; multi-agent-execution; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/maestro-orchestrator-pack/manifest.json,maestroorchestrator,,overlap-process-workflow-automation
corporate-v1,meeting-booker-pack,meeting-booker-pack,Meeting Booker Bot,2.3.0,vendas,manual-override,,CRO / VP Sales,"Agendar reuniões com o menor atrito possível. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,4,1,sales; prospecting,specialist,meeting-booker; pipeline-generation; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/meeting-booker-pack/manifest.json,meetingbooker,,overlap-lead-prospecting-outreach
corporate-v1,objection-handling-pack,objection-handling-pack,Objection Handling Bot,2.3.0,vendas,manual-override,,CRO / VP Sales,"Mapear, classificar e responder objeções comerciais. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,3,1,sales; revenue,specialist,objection-handling; revenue-execution; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/objection-handling-pack/manifest.json,objectionhandling,,
corporate-v1,onboarding-sales-pack,onboarding-sales-pack,Onboarding Sales Bot,2.3.0,vendas,manual-override,,CRO / VP Sales,"Acelerar onboarding de novos vendedores. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,3,1,customer-success; enablement,specialist,onboarding-sales; retention-and-growth; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/onboarding-sales-pack/manifest.json,onboardingsales,,overlap-executive-board-strategy
corporate-v1,ops-pack,ops-pack,Ops Agent Pack,2.3.0,ops,manual-override,,COO / RevOps,Operations agent for process control and incident response.,core,P0,not-provided,no,no,,,6,3,1,operations,department,incident-operations; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/ops-pack/manifest.json,ops,,overlap-support-ticket-sla; overlap-process-workflow-automation
corporate-v1,pipeline-auditor-pack,pipeline-auditor-pack,Pipeline Auditor Bot,2.3.0,vendas,manual-override,,CRO / VP Sales,"Auditar higiene e consistência do pipeline. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,3,1,operations; enablement,specialist,pipeline-auditor; commercial-operations; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/pipeline-auditor-pack/manifest.json,pipelineauditor,,overlap-pipeline-forecast-deal-risk; overlap-compliance-risk-audit
corporate-v1,policy-and-approval-guard-pack,policy-and-approval-guard-pack,Policy & Approval Guard,2.3.0,compliance,manual-override,,Compliance Officer,"Autorizar, bloquear ou exigir dupla checagem para ações sensíveis. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,4,1,operations; governance,suite,policy-and-approval-guard; multi-agent-execution; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/policy-and-approval-guard-pack/manifest.json,policyandapprovalguard,,overlap-compliance-risk-audit
corporate-v1,productivity-pack,productivity-pack,Productivity Bot,2.3.0,ops,manual-override,,COO / RevOps,"Medir ganho operacional, tempo economizado e desperdício de esforço. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,3,1,operations; enablement,specialist,productivity; commercial-operations; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/productivity-pack/manifest.json,productivity,,overlap-product-launch-feedback
corporate-v1,proposal-pack,proposal-pack,Proposal Bot,2.3.0,vendas,manual-override,,CRO / VP Sales,"Montar propostas comerciais consistentes e contextualizadas. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,6,4,1,sales; revenue,specialist,proposal; revenue-execution; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/proposal-pack/manifest.json,proposal,,
corporate-v1,qualification-pack,qualification-pack,Qualification Bot,2.3.0,vendas,manual-override,,CRO / VP Sales,"Avaliar fit, urgência, dor, autoridade e oportunidade real. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,6,4,1,sales; prospecting,specialist,qualification; pipeline-generation; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/qualification-pack/manifest.json,qualification,,
corporate-v1,revops-intelligence-pack,revops-intelligence-pack,RevOps Intelligence Bot,2.3.0,ops,manual-override,,COO / RevOps,"Analisar estrutura operacional, conversão, gargalos e inconsistências do funil. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,3,1,operations; enablement,specialist,revops-intelligence; commercial-operations; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/revops-intelligence-pack/manifest.json,revopsintelligence,,
corporate-v1,rh-pack,rh-pack,RH Agent Pack,2.3.0,ops,manual-override,,Head of People,Human resources agent for people operations and talent lifecycle.,core,P0,not-provided,no,no,,,6,3,1,hr,department,talent-operations; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/rh-pack/manifest.json,rh,,overlap-process-workflow-automation
corporate-v1,roleplay-trainer-pack,roleplay-trainer-pack,Roleplay Trainer Bot,2.3.0,vendas,manual-override,,CRO / VP Sales,"Simular situações comerciais para treinamento prático. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,3,1,customer-success; enablement,specialist,roleplay-trainer; retention-and-growth; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/roleplay-trainer-pack/manifest.json,roleplaytrainer,,overlap-enablement-coaching-playbooks
corporate-v1,sales-manager-pack,sales-manager-pack,Sales Manager Bot,2.3.0,vendas,manual-override,,CRO / VP Sales,"Ajudar gestores a entender time, pipeline e gargalos. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,4,1,operations; enablement,specialist,sales-manager; commercial-operations; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/sales-manager-pack/manifest.json,salesmanager,,overlap-pipeline-forecast-deal-risk
corporate-v1,sales-pack,sales-pack,Sales Agent Pack,2.3.0,vendas,manual-override,,CRO / VP Sales,Sales execution agent for lead qualification and conversion.,core,P0,not-provided,no,no,,,6,3,1,sales,department,lead-conversion; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/sales-pack/manifest.json,sales,,overlap-lead-prospecting-outreach
corporate-v1,sdr-outreach-pack,sdr-outreach-pack,SDR Outreach Bot,2.3.0,vendas,manual-override,,CRO / VP Sales,"Criar mensagens de abordagem inicial e follow-ups personalizados. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,4,1,sales; prospecting,specialist,sdr-outreach; pipeline-generation; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/sdr-outreach-pack/manifest.json,sdroutreach,,overlap-lead-prospecting-outreach
executive-premium-v1,boardprep-ai-premium-pack,boardprep-ai-premium-pack,Board Prep AI Premium Agent,1.0.0,executivo,manual-override,,CEO / Chief of Staff,"Consolida contexto executivo, KPIs, riscos e decisoes pendentes para preparar material de board com lacunas explicitadas e recomendacoes acionaveis.",especialista,P1,not-provided,no,no,,,16,13,1,management; finance,suite,boardprep-ai; executive-premium; decision-support; premium-governance; consolidate-executive-context-board-kpis-risks-and-pending-decisions-into-a-clear-board-prep-packet-without-inventing-facts; consolida-contexto-executivo-kpis-riscos-e-decisoes-pendentes-para-preparar-material-de-board-com-lacunas-explicitadas-e-recomendacoes-acionaveis,packages/agent-packs/executive-premium-v1/boardprep-ai-premium-pack/manifest.json,boardprepai,dup-001,overlap-executive-board-strategy
executive-premium-v1,brand-guardian-premium-pack,brand-guardian-premium-pack,Brand Guardian Premium Agent,1.0.0,marketing,manual-override,,CMO / Growth,"Analisa a exposição de marca, consistência narrativa e incidentes de reputação para garantir a saúde da marca executiva.",especialista,P1,not-provided,no,no,,,16,13,1,management; growth; communications,suite,brand-guardian; executive-premium; decision-support; premium-governance; analyze-market-sentiment-pr-incident-signals-and-brand-narrative-drift-to-project-brand-health-and-mitigate-reputation-risks; analisa-a-exposicao-de-marca-consistencia-narrativa-e-incidentes-de-reputacao-para-garantir-a-saude-da-marca-executiva,packages/agent-packs/executive-premium-v1/brand-guardian-premium-pack/manifest.json,brandguardian,dup-002,overlap-support-ticket-sla; overlap-brand-market-competitive
executive-premium-v1,budget-fluid-premium-pack,budget-fluid-premium-pack,Budget Fluid Premium Agent,1.0.0,financeiro,manual-override,,CFO / Finance Ops,"Analisa a telemetria de gastos, desvio de previsão e alocações de cenário para otimizar a eficiência orçamentária.",especialista,P1,not-provided,no,no,,,16,13,1,management; finance,suite,budget-fluid; executive-premium; decision-support; premium-governance; analyze-spend-telemetry-forecast-drift-and-scenario-stress-tests-to-recommend-budget-reallocations-and-improve-capital-efficiency; analisa-a-telemetria-de-gastos-desvio-de-previsao-e-alocacoes-de-cenario-para-otimizar-a-eficiencia-orcamentaria,packages/agent-packs/executive-premium-v1/budget-fluid-premium-pack/manifest.json,budgetfluid,dup-003,overlap-fpna-budget-cost
executive-premium-v1,capital-allocator-premium-pack,capital-allocator-premium-pack,Capital Allocator Premium Agent,1.0.0,executivo,manual-override,,CEO / Chief of Staff,"Analisa a telemetria de gastos, desvio de previsão e alocações de cenário para otimizar a eficiência orçamentária.",especialista,P1,not-provided,no,no,,,16,13,1,management; finance,suite,capital-allocator; executive-premium; decision-support; premium-governance; analyze-spend-telemetry-forecast-drift-and-scenario-stress-tests-to-recommend-budget-reallocations-and-improve-capital-efficiency; analisa-a-telemetria-de-gastos-desvio-de-previsao-e-alocacoes-de-cenario-para-otimizar-a-eficiencia-orcamentaria,packages/agent-packs/executive-premium-v1/capital-allocator-premium-pack/manifest.json,capitalallocator,dup-004,overlap-fpna-budget-cost; overlap-executive-board-strategy
executive-premium-v1,churn-deflector-premium-pack,churn-deflector-premium-pack,Churn Deflector Premium Agent,1.0.0,CS,manual-override,,VP Customer Success,"Monitora saude de contas, risco de renovacao e cobertura executiva para priorizar acoes de retencao e reduzir churn evitavel.",especialista,P1,not-provided,no,no,,,16,13,1,management; finance; growth,suite,churn-deflector; executive-premium; decision-support; premium-governance; analyze-account-health-renewal-risk-and-escalation-readiness-to-recommend-executive-actions-that-prevent-avoidable-churn; monitora-saude-de-contas-risco-de-renovacao-e-cobertura-executiva-para-priorizar-acoes-de-retencao-e-reduzir-churn-evitavel,packages/agent-packs/executive-premium-v1/churn-deflector-premium-pack/manifest.json,churndeflector,dup-005,overlap-cs-health-retention
executive-premium-v1,competitor-xray-premium-pack,competitor-xray-premium-pack,Competitor X Ray Premium Agent,1.0.0,marketing,manual-override,,CMO / Growth,"Analisa inteligencia de concorrentes, gaps de features e benchmarks de preco para sugerir campos de batalha otimizados e aumentar taxas de conversao.",especialista,P1,not-provided,no,no,,,16,13,1,management; finance; growth,suite,competitor-xray; executive-premium; decision-support; premium-governance; analyze-competitor-intel-feature-gaps-and-pricing-benchmarks-to-equip-the-sales-team-with-winning-battlecards-and-identify-strategic-product-priorities; analisa-inteligencia-de-concorrentes-gaps-de-features-e-benchmarks-de-preco-para-sugerir-campos-de-batalha-otimizados-e-aumentar-taxas-de-conversao,packages/agent-packs/executive-premium-v1/competitor-xray-premium-pack/manifest.json,competitorxray,dup-006,overlap-brand-market-competitive; overlap-product-launch-feedback
executive-premium-v1,crisis-navigator-premium-pack,crisis-navigator-premium-pack,Crisis Navigator Premium Agent,1.0.0,executivo,manual-override,,CEO / Chief of Staff,"Orquestra resposta executiva a crises operacionais, reputacionais e de compliance, priorizando mitigacao, comunicacao e recuperacao.",especialista,P1,not-provided,no,no,,,16,13,1,management; communications; people,suite,crisis-navigator; executive-premium; decision-support; premium-governance; synthesize-incident-signals-operational-impact-and-mitigation-options-to-guide-fast-defensible-executive-decisions-during-crises; orquestra-resposta-executiva-a-crises-operacionais-reputacionais-e-de-compliance-priorizando-mitigacao-comunicacao-e-recuperacao,packages/agent-packs/executive-premium-v1/crisis-navigator-premium-pack/manifest.json,crisisnavigator,dup-007,overlap-compliance-risk-audit; overlap-executive-board-strategy
executive-premium-v1,culture-pulse-premium-pack,culture-pulse-premium-pack,Culture Pulse Premium Agent,1.0.0,ops,manual-override,,COO / RevOps,"Monitora saude cultural interna, riscos de engajamento e alinhamento de lideranca para orientar acoes de people e comunicacao executiva.",especialista,P1,not-provided,no,no,,,16,13,1,management; growth; people,suite,culture-pulse; executive-premium; decision-support; premium-governance; analyze-engagement-alignment-and-organizational-sentiment-signals-to-anticipate-cultural-risks-and-recommend-executive-actions; monitora-saude-cultural-interna-riscos-de-engajamento-e-alinhamento-de-lideranca-para-orientar-acoes-de-people-e-comunicacao-executiva,packages/agent-packs/executive-premium-v1/culture-pulse-premium-pack/manifest.json,culturepulse,dup-008,
executive-premium-v1,expansion-mapper-premium-pack,expansion-mapper-premium-pack,Expansion Mapper Premium Agent,1.0.0,CS,manual-override,,VP Customer Success,"Detecta sinais de crescimento emergentes, aceleracao de categorias e clusters de mercado para indicar areas focais recomendadas.",especialista,P1,not-provided,no,no,,,16,13,1,management; growth; strategy,suite,expansion-mapper; executive-premium; decision-support; premium-governance; analyze-whitespace-category-acceleration-and-emerging-demand-to-identify-where-the-business-should-place-its-next-expansion-bets; detecta-sinais-de-crescimento-emergentes-aceleracao-de-categorias-e-clusters-de-mercado-para-indicar-areas-focais-recomendadas,packages/agent-packs/executive-premium-v1/expansion-mapper-premium-pack/manifest.json,expansionmapper,dup-009,
executive-premium-v1,market-sentinel-premium-pack,market-sentinel-premium-pack,Market Sentinel Premium Agent,1.0.0,executivo,manual-override,,CEO / Chief of Staff,"Detecta sinais de crescimento emergentes, aceleracao de categorias e clusters de mercado para indicar areas focais recomendadas.",especialista,P1,not-provided,no,no,,,16,13,1,management; growth; people,suite,market-sentinel; executive-premium; decision-support; premium-governance; analyze-macro-trends-category-acceleration-and-sentiment-shifts-to-warn-leadership-where-market-pressure-is-increasing; detecta-sinais-de-crescimento-emergentes-aceleracao-de-categorias-e-clusters-de-mercado-para-indicar-areas-focais-recomendadas,packages/agent-packs/executive-premium-v1/market-sentinel-premium-pack/manifest.json,marketsentinel,dup-010,overlap-brand-market-competitive
